148  20 2 0 0.688 5.898 0.295 5.507 0.695 0.509
149  20 2 0 0.729 5.897 0.257 5.625 0.606 0.470
121  21 1 0 0.796 6.724 0.203 6.461 0.478 0.405
122  21 1 0 0.894 6.679 0.185 6.336 0.436 0.415
123  21 1 0 0.688 6.649 0.209 5.105 0.492 0.360
129  21 1 0 0.761 6.284 0.238 6.028 0.560 0.454
130  21 1 0 0.796 6.281 0.248 7.184 0.584 0.494
131  21 1 0 0.739 6.246 0.266 6.264 0.627 0.493
132  21 1 0 0.706 6.187 0.259 5.569 0.609 0.458
133  21 1 0 0.698 6.116 0.271 5.376 0.639 0.475
134  21 1 0 0.705 6.102 0.310 5.771 0.729 0.548
135  21 1 0 0.673 6.116 0.333 5.508 0.785 0.562
136  21 1 0 0.627 6.067 0.336 5.168 0.791 0.528
137  21 1 0 0.618 5.998 0.340 5.121 0.800 0.526
138  21 1 0 0.601 5.974 0.326 5.105 0.768 0.491
139  21 1 0 0.678 5.899 0.270 5.343 0.636 0.459
140  21 2 0 0.838 5.855 0.239 6.196 0.563 0.502
141  21 2 0 0.884 5.870 0.262 6.811 0.618 0.582
142  21 2 0 0.882 5.869 0.288 6.833 0.679 0.638
143  21 2 0 0.810 5.842 0.297 5.964 0.700 0.604
148  21 2 0 0.748 5.925 0.255 5.665 0.600 0.477
149  21 2 0 0.769 5.951 0.242 5.807 0.570 0.467
150  21 2 0 0.743 5.954 0.223 5.368 0.525 0.415
151  21 2 0 0.733 5.985 0.201 5.201 0.473 0.369
152  21 2 0 0.695 5.975 0.147 5.042 0.345 0.255
121  22 1 0 0.700 6.656 0.204 5.814 0.480 0.357
122  22 1 0 0.816 6.650 0.185 6.233 0.436 0.379
123  22 1 0 0.659 6.628 0.206 5.309 0.485 0.340
127  22 1 0 0.645 6.345 0.233 5.242 0.549 0.377
128  22 1 0 0.752 6.317 0.208 5.787 0.489 0.391
129  22 1 0 0.973 6.311 0.183 6.881 0.432 0.447
130  22 1 0 0.984 6.327 0.218 7.287 0.514 0.538
131  22 1 0 0.843 6.266 0.253 6.672 0.596 0.535
132  22 1 0 0.785 6.205 0.242 6.071 0.571 0.477
134  22 1 0 0.670 6.170 0.341 5.250 0.803 0.573
135  22 1 0 0.711 6.170 0.312 5.377 0.734 0.556
136  22 1 0 0.767 6.100 0.278 5.788 0.654 0.534
137  22 1 0 0.734 6.053 0.302 6.149 0.711 0.555
138  22 1 0 0.681 6.011 0.325 5.689 0.766 0.555
139  22 2 0 0.740 5.903 0.259 5.818 0.609 0.479
140  22 2 0 0.970 5.876 0.254 7.613 0.599 0.619
141  22 2 0 0.985 5.867 0.264 8.091 0.621 0.651
142  22 2 0 0.867 5.866 0.300 7.033 0.706 0.652
143  22 2 0 0.771 5.857 0.323 6.258 0.762 0.625
144  22 2 0 0.761 5.830 0.304 6.094 0.716 0.581
